Jhimruk River Hydrology Data													
Daily Discharge m3/sec													
													
F.Y.: 2051/52													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
3	64.95	94.11	79.85	21.19	9.60	6.50	5.42	4.82	3.46	1.91	2.53	1.68	
4	67.21	96.50	236.30	20.41	9.60	6.47	5.21	4.72	3.42	2.03	1.78	1.41	
5	80.68	85.74	112.89	20.14	9.64	6.29	5.10	4.53	3.65	1.95	1.24	1.31	
6	77.58	88.32	92.91	20.14	9.29	6.69	5.19	4.45	3.72	1.91	1.70	1.30	
7	70.23	82.56	75.65	20.14	9.09	6.56	4.97	4.31	3.65	1.88	3.06	1.47	
8	75.93	87.98	66.66	19.66	8.98	6.56	5.06	4.27	3.68	1.98	13.64	1.56	
9	66.09	106.28	71.76	18.22	8.84	6.50	5.08	4.25	3.81	1.78	22.22	1.50	
10	59.08	126.13	63.29	17.32	8.67	6.43	5.00	4.10	3.75	1.87	6.06	4.69	
11	54.74	101.21	55.79	17.34	8.64	6.52	4.97	3.78	3.85	2.00	5.13	4.30	
12	52.63	90.31	51.17	17.32	8.47	7.33	4.77	3.51	3.44	1.61	5.18	9.09	
13	49.33	82.23	48.89	16.35	8.36	6.99	4.68	3.50	3.63	1.35	5.24	8.97	
14	40.75	66.53	55.01	15.77	8.36	6.91	4.59	3.66	3.47	1.54	7.88	65.13	
15	43.70	64.20	45.39	15.79	8.36	6.71	4.53	3.40	3.12	1.42	8.41	18.80	
16	50.62	60.95	42.53	15.75	8.20	6.53	4.43	3.31	3.09	1.47	7.42	13.90	
17	41.55	55.31	41.35	15.78	7.92	6.52	4.56	3.32	3.10	1.43	4.91	17.92	
18	46.62	49.81	39.49	15.79	7.99	6.50	4.49	3.26	2.89	1.34	3.73	9.98	
19	63.72	49.61	43.29	15.80	8.03	6.61	4.36	3.34	2.84	1.23	3.61	7.88	
20	56.64	44.05	35.20	15.62	7.91	6.19	4.25	3.38	2.85	2.19	3.58	15.09	
21	71.89	40.74	31.74	14.25	7.82	6.12	4.39	3.27	2.85	1.73	3.10	13.67	
22	97.30	39.26	30.40	14.25	7.58	5.93	4.42	3.39	2.80	2.22	3.09	10.23	
23	97.85	35.19	29.73	13.47	7.57	5.77	4.39	3.33	2.75	1.72	4.07	9.53	
24	92.49	37.68	29.16	12.69	7.48	5.74	4.23	3.21	2.69	1.25	3.27	24.22	
25	80.63	36.03	29.26	12.70	7.40	5.74	4.19	3.27	2.83	1.09	2.24	16.91	
26	77.81	43.75	28.32	12.70	7.43	5.65	4.16	3.16	2.66	1.03	2.13	11.38	
27	69.33	46.91	26.95	12.70	7.39	5.57	4.04	3.08	2.90	0.84	1.84	13.49	
28	61.80	40.40	25.72	12.02	7.17	5.46	4.00	3.18	2.60	1.05	1.75	15.61	
29	76.24	60.35	23.97	11.56	7.03	5.49	4.99	3.30	2.57	1.28	2.20	79.36	
30	77.02	49.71	23.52	11.18	6.80				2.53	1.82	11.74	42.50	
31	92.10								2.42	1.11	6.06	33.79	
32	81.29												
													
F.Y.: 2066/67													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	25.95	104.63	36.79	30.42	10.96	7.61	5.91	5.6	3.23	2.50	0.564	2.92	129.330
2	24.32	115.26	35.01	29.34	10.42	7.42	5.84	5.34	3.30	2.26	0.47	2.22	
3	25.77	104.67	32.61	29.32	10.24	7.25	5.82	5.22	4.11	2.27	0.39	3.55	
4	65.38	97.40	29.92	28.19	10.08	7.10	5.66	5.06	4.64	2.39	0.38	3.29	
5	56.35	83.79	38.70	26.79	10.08	7.00	5.57	4.91	4.16	2.19	0.38	18.91	
6	36.97	75.71	46.44	25.59	9.90	9.94	5.40	4.78	4.05	2.18	0.61	46.30	
7	35.51	67.92	38.18	24.73	9.63	6.96	5.23	4.77	3.88	1.99	0.38	49.03	
8	27.39	81.23	34.16	23.90	9.46	6.93	5.23	4.70	3.80	1.77	0.17	12.49	
9	23.91	70.39	38.98	22.59	9.34	6.97	5.12	4.78	3.72	1.46	9.67	8.59	
10	21.84	66.03	33.24	21.67	9.16	6.90	5.07	4.70	3.72	1.47	5.98	13.52	
11	25.50	63.29	30.35	20.84	9.16	6.81	5.09	4.73	3.51	1.55	4.23	8.93	
12	99.71	61.62	33.61	20.10	8.85	6.84	4.93	4.78	3.24	1.49	6.19	8.19	
13	129.33	53.70	35.06	19.25	8.66	6.74	4.96	4.57	3.28	1.59	5.61	11.13	
14	99.37	53.78	31.80	18.61	8.55	6.65	4.84	4.52	3.22	1.54	7.36	15.14	
15	85.81	105.25	30.06	17.65	8.55	6.64	4.94	4.48	3.18	1.63	2.31	8.27	
16	63.79	71.01	28.00	17.08	8.55	7.05	4.80	4.35	2.68	3.07	1.65	8.54	
17	52.58	71.11	26.20	16.53	8.55	6.72	4.75	4.18	2.90	3.94	1.37	22.79	
18	53.97	65.72	25.89	15.59	8.55	6.74	4.73	4.01	2.88	2.62	1.41	11.31	
19	62.27	64.26	25.60	15.31	8.47	6.53	4.78	3.86	2.67	2.50	1.06	12.77	
20	79.72	64.37	45.71	13.67	8.37	6.53	4.58	3.66	2.67	2.20	1.15	9.97	
21	73.01	64.35	110.35	12.58	8.09	6.45	4.58	3.58	2.79	2.09	0.90	9.66	
22	88.26	65.08	81.22	12.58	8.09	6.34	4.79	3.69	2.67	3.30	1.13	19.49	
23	102.03	57.58	63.16	12.57	7.97	6.53	4.38	3.56	2.67	2.48	1.02	26.84	
24	101.54	58.14	55.82	12.58	8.02	6.14	4.33	3.24	2.72	2.09	0.95	17.13	
25	103.84	58.61	46.93	11.79	8.01	5.96	4.40	3.51	2.73	1.58	1.01	15.45	
26	107.75	55.31	45.61	11.05	7.94	5.87	7.37	3.42	2.65	1.23	1.05	15.38	
27	76.03	46.51	40.43	11.05	7.84	5.77	7.08	3.21	2.56	0.94	1.02	22.53	
28	73.85	45.92	38.33	11.05	7.84	5.76	6.06	3.29	2.37	0.89	1.31	63.13	
29	125.32	43.69	36.36	11.03	7.77	5.91	5.69	3.20	2.37	0.64	4.66	52.82	
30	122.23	41.73	32.97		7.64	5.97			2.31	0.55	11.08	34.78	
31	122.70	40.40	30.96						2.11	0.55	5.67	27.74	
32	109.77											25.34	
													
F.Y.: 2067/68													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	27.26	27.26	111.12	26.89	13.31	7.36	5.78	4.12	3.28	3.11	0.98	5.63	242.060
2	35.66	35.66	112.09	25.51	12.64	7.29	5.86	4.24	3.38	3.17	5.01	4.62	
3	103.28	103.28	105.35	24.28	12.27	7.24	5.84	4.32	3.35	3.02	9.40	6.34	
4	115.71	115.71	83.94	23.55	12.04	7.14	5.66	5.91	3.48	2.84	6.71	7.64	
5	95.37	95.37	83.13	25.60	11.94	7.01	5.54	6.07	3.50	2.81	3.30	13.92	
6	101.35	101.35	85.11	22.91	11.62	7.14	5.51	5.31	3.28	2.94	4.32	16.14	
7	79.25	79.25	80.87	21.23	11.46	6.94	5.46	5.10	3.59	2.87	9.12	9.37	
8	70.38	70.38	74.05	20.30	11.40	6.95	5.44	5.14	3.38	2.63	2.65	6.05	
9	70.08	70.08	72.84	18.39	10.17	6.81	5.26	5.03	3.28	2.49	2.25	5.10	
10	64.55	64.55	74.52	17.36	9.68	6.74	5.23	5.02	3.31	2.28	2.02	6.45	
11	100.65	100.65	66.37	17.35	9.40	6.69	5.22	4.75	3.34	2.29	1.90	38.67	
12	77.15	77.15	61.31	17.34	9.01	6.73	5.17	4.78	3.26	2.40	10.52	22.35	
13	81.94	81.39	56.65	16.84	8.66	6.36	5.01	4.79	3.75	2.26	5.02	31.82	
14	242.06	242.06	54.06	17.35	8.65	6.73	5.06	4.72	5.04	2.36	7.17	28.13	
15	119.51	119.51	50.07	17.33	8.36	6.36	5.00	4.58	4.23	2.46	10.32	19.94	
16	100.67	100.67	46.63	16.75	8.32	6.67	4.95	4.55	4.08	3.95	9.74	40.03	
17	84.72	84.72	44.20	16.48	8.34	7.45	4.87	4.32	4.75	2.65	7.65	108.19	
18	67.72	67.72	40.20	15.77	8.32	6.94	4.95	4.17	3.87	2.60	4.57	76.28	
19	58.15	58.15	39.02	15.79	8.10	6.69	4.85	4.16	3.63	2.47	2.67	53.41	
20	70.34	70.38	37.34	15.55	8.02	6.67	4.87	4.16	3.73	2.85	2.32	46.63	
21	53.69	53.69	34.43	15.13	7.97	6.63	4.84	4.05	3.49	3.29	2.37	47.58	
22	51.63	51.63	32.82	15.25	7.93	6.34	4.72	4.02	3.26	2.45	2.10	42.22	
23	44.84	44.84	32.30	14.79	7.93	6.30	4.68	3.66	3.08	2.55	2.03	45.36	
24	45.13	45.13	31.93	14.21	7.76	6.14	4.61	3.73	3.19	3.76	4.48	44.27	
25	47.59	47.59	31.74	14.11	7.43	5.99	4.56	3.55	2.90	2.67	4.26	39.40	
26	49.68	49.68	31.17	13.87	7.40	5.95	4.55	3.60	2.77	2.90	10.60	43.58	
27	45.66	45.66	30.17	13.37	7.44	6.04	4.46	3.51	2.93	2.24	6.07	42.63	
28	44.19	44.19	28.17	13.30	7.45	5.74	4.17	3.53	2.80	1.99	15.37	46.06	
29	44.11	44.11	26.39	12.93	7.28	5.70	4.13	3.32	2.91	1.63	6.17	47.56	
30	61.88	61.88	26.94	12.82		5.70		3.34	3.15	1.56	5.84	71.76	
31	58.83	58.83	27.48							1.35	6.14	58.27	
32												97.43	
													
F.Y.: 2068/69													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	62.92	55.31	75.40	24.44	11.00	7.31	6.44	5.44	4.13	3.20	1.26	1.25	150.562
2	47.53	68.15	70.77	23.75	10.09	7.27	6.55	5.41	4.04	3.01	0.87	1.31	
3	43.72	63.37	76.85	23.28	11.05	7.13	6.30	5.24	3.87	3.04	0.73	11.49	
4	82.39	58.44	63.78	23.35	10.89	7.02	6.28	5.06	3.71	3.01	0.61	44.24	
5	76.54	60.63	64.81	21.87	10.40	7.00	6.19	5.14	3.69	2.85	0.56	38.65	
6	82.04	150.56	63.86	21.28	9.58	6.92	6.73	5.03	3.99	2.67	2.84	8.62	
7	74.46	85.09	85.92	19.82	9.48	6.85	6.30	4.77	3.67	2.52	4.47	14.16	
8	61.56	92.17	77.74	18.66	9.24	6.68	6.12	4.89	3.58	2.47	1.56	13.78	
9	57.88	75.77	68.69	17.94	9.05	6.62	6.05	4.84	3.38	2.49	1.17	17.48	
10	59.07	75.51	65.94	17.27	8.70	6.48	5.64	4.74	3.29	2.18	1.01	12.06	
11	56.52	70.54	58.16	16.89	8.36	6.50	5.58	4.56	3.28	2.01	0.80	7.66	
12	56.58	65.61	53.83	16.29	8.26	6.48	5.28	4.36	3.38	1.94	0.83	4.83	
13	62.10	59.42	55.88	15.99	8.22	6.44	5.14	4.16	3.32	1.87	0.80	3.37	
14	56.00	61.64	51.05	15.68	8.33	6.54	5.30	4.09	3.14	2.00	1.17	3.151	
15	59.30	48.65	50.67	15.64	8.30	6.53	5.18	3.80	3.07	1.93	1.73	5.898	
16	73.94	42.84	49.45	15.18	8.31	6.34	5.09	3.87	3.19	1.75	0.95	9.45	
17	64.27	41.24	45.86	14.54	8.20	6.67	5.13	3.92	3.21	1.69	0.97	10.61	
18	104.50	39.16	43.70	14.62	7.93	8.45	5.03	3.80	3.30	1.61	1.96	8.50	
19	77.19	37.80	42.61	14.59	7.86	7.74	4.96	3.79	3.35	1.59	1.62	13.40	
20	100.18	41.82	39.23	14.65	7.82	7.16	4.95	3.52	3.34	1.63	3.11	26.73	
21	113.59	87.60	37.90	14.25	7.82	7.15	4.94	3.44	3.71	1.55	1.98	19.84	
22	85.32	76.70	36.33	13.94	7.79	6.93	4.91	3.63	3.33	1.38	1.22	50.54	
23	72.62	69.41	33.87	13.39	7.75	6.74	4.73	3.46	4.79	1.86	1.21	71.61	
24	58.77	64.29	30.85	12.68	7.54	6.74	4.73	3.33	5.51	2.03	1.36	52.14	
25	60.73	63.77	30.57	12.60	7.47	6.79	8.88	3.32	3.55	1.49	1.26	30.11	
26	62.53	57.62	29.39	12.63	7.66	6.80	8.21	3.59	3.32	1.44	1.30	20.82	
27	56.90	60.11	28.22	12.45	7.58	6.66	6.05	3.38	3.40	1.32	1.20	18.81	
28	51.51	135.37	26.75	11.97	7.54	6.74	5.76	3.14	4.90	1.75	2.17	16.26	
29	73.24	89.63	26.21	11.56	7.44	7.28	5.52	3.18	4.03	2.98	3.09	14.28	
30	61.17	98.26	25.71	11.07		6.66		3.69	3.51	1.68	3.03	13.07	
31	84.80	82.87								1.37	1.35	43.61	
32	44.85										1.55		
													
F.Y.: 2069/70													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	47.626	32.930	94.830	21.780	9.510	6.540	5.000	5.158	3.611	2.338	0.702	16.573	219.540
2	40.570	40.491	86.431	20.709	9.499	6.540	5.004	5.070	3.495	2.334	1.184	27.663	
3	29.566	43.738	72.935	19.883	9.229	6.388	5.140	4.927	3.290	2.287	5.137	89.306	
4	35.878	50.760	74.781	19.161	8.835	6.355	5.009	4.859	3.252	2.812	7.619	139.057	
5	46.403	41.820	65.710	17.631	8.626	6.299	5.804	5.327	3.179	2.653	5.291	96.724	
6	51.154	72.220	58.169	16.244	8.436	6.271	7.459	8.705	3.227	17.962	21.915	61.878	
7	41.360	54.174	50.684	15.389	8.247	6.253	6.125	7.530	3.231	10.573	16.904	50.553	
8	45.031	47.680	47.300	14.910	8.199	6.194	5.864	5.883	3.231	8.294	6.504	74.282	
9	82.735	68.940	45.102	14.815	8.118	6.065	5.576	5.298	3.408	5.343	8.265	71.735	
10	79.227	59.264	41.475	14.654	8.064	6.029	5.247	5.283	3.189	5.470	14.874	65.460	
11	66.640	60.610	39.271	14.335	7.885	5.925	5.372	5.192	3.083	5.368	4.751	54.513	
12	61.390	51.107	36.642	14.212	7.845	5.909	5.290	4.937	3.189	4.296	42.615	53.484	
13	63.220	49.900	35.450	13.918	7.769	5.887	5.298	5.140	3.004	3.374	13.195	46.389	
14	70.310	91.950	33.646	13.460	7.802	5.871	5.231	5.116	2.896	3.075	7.762	68.881	
15	72.210	73.990	31.912	12.619	7.617	5.786	5.261	4.931	2.905	2.799	8.843	73.675	
16	68.358	70.431	30.249	12.080	7.232	5.732	5.180	4.853	3.011	2.584	9.190	83.978	
17	68.150	145.233	30.128	12.008	7.229	5.387	5.020	4.676	2.948	2.429	10.413	68.900	
18	63.421	78.791	28.966	11.980	7.228	5.658	4.981	4.645	2.952	2.208	10.016	61.047	
19	219.540	82.258	29.314	11.836	6.997	5.651	4.958	4.390	3.326	1.994	6.786	55.034	
20	121.270	69.204	28.961	11.675	7.083	5.607	4.884	4.506	3.079	1.899	5.319	50.797	
21	101.009	64.410	25.989	11.534	6.967	5.539	4.960	4.431	2.861	1.719	4.637	48.138	
22	90.107	58.100	24.135	11.378	7.098	5.409	4.851	4.156	2.947	1.473	4.084	50.991	
23	76.146	47.090	23.581	11.159	6.819	5.564	7.777	3.392	2.880	1.370	4.326	58.843	
24	69.155	42.195	23.506	11.085	6.685	5.250	9.299	4.053	2.709	1.287	4.622	58.258	
25	66.630	41.839	22.080	11.089	6.853	5.220	6.871	3.838	2.698	1.183	7.737	76.543	
26	56.810	67.860	21.535	10.907	6.665	5.000	5.934	3.808	2.723	1.214	6.448	101.612	
27	49.860	64.731	21.074	10.612	6.735	5.000	5.460	3.794	2.524	1.130	9.088	122.873	
28	41.720	104.742	24.617	10.381	6.632	5.000	5.306	3.798	2.755	1.018	48.513	105.918	
29	39.690	95.225	22.345	10.148	6.771	5.000	5.236	3.724	2.627	0.819	21.781	93.412	
30	37.790	81.798	21.959	9.940	6.628			3.780	2.441	0.993	23.335	87.901	
31	35.470	76.251							2.590	1.072	19.907	86.416	
32	35.770												
													
F.Y.: 2070/71													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	90.80	91.62	37.56	23.31	12.27	7.93	6.47	5.13	4.42	2.84	1.01	3.30	212.365
2	74.46	84.12	35.90	28.00	12.26	7.86	6.34	5.12	4.15	2.77	1.07	2.79	
3	74.96	75.36	37.36	26.99	12.51	7.91	6.19	7.04	4.15	2.75	0.94	19.33	
4	168.89	68.04	37.49	24.26	12.28	7.86	12.49	7.82	4.20	2.73	1.02	14.22	
5	124.79	78.62	34.53	23.10	12.12	7.81	9.10	7.22	4.44	2.54	0.88	34.64	
6	102.50	86.99	32.64	22.22	11.81	7.60	7.84	6.29	4.30	2.60	0.92	58.88	
7	154.12	63.23	32.09	21.87	11.45	7.46	7.39	5.90	4.19	2.53	0.86	27.46	
8	114.45	67.56	31.42	21.66	11.20	7.37	7.26	5.74	4.54	2.67	0.83	12.90	
9	123.95	67.89	33.25	21.23	11.06	7.35	7.12	5.62	6.61	2.58	1.00	7.93	
10	117.97	119.48	30.68	20.35	10.92	7.30	6.90	5.57	5.07	2.33	1.02	6.19	
11	123.83	125.82	32.98	20.24	10.64	7.17	6.82	5.47	4.74	2.28	4.51	5.16	
12	103.68	106.36	71.65	19.98	10.32	7.17	6.64	5.40	4.54	2.37	6.67	4.49	
13	90.28	98.35	36.87	19.36	10.04	6.96	6.55	5.39	4.30	2.20	4.95	4.09	
14	75.96	88.05	33.11	18.94	9.51	7.02	6.46	5.22	4.22	2.04	4.85	12.98	
15	72.57	91.77	30.95	18.35	8.93	6.99	6.29	5.31	3.76	2.01	2.12	5.96	
16	100.71	79.57	31.21	17.59	8.80	7.13	6.30	5.32	3.76	2.04	2.41	9.24	
17	75.91	78.14	30.27	16.91	8.58	7.40	6.16	5.75	3.62	1.86	2.97	11.90	
18	70.33	131.37	19.94	15.75	8.60	7.08	6.09	6.39	3.55	1.84	14.35	15.47	
19	64.44	106.56	28.01	15.95	8.71	6.95	6.11	5.39	3.53	3.04	7.17	11.31	
20	62.27	89.10	26.81	16.24	8.53	6.95	6.01	5.17	3.76	2.41	2.78	11.57	
21	83.36	74.00	24.97	15.76	8.53	6.78	5.75	5.13	3.97	2.42	2.37	11.84	
22	119.28	69.18	24.14	14.95	8.48	6.73	5.69	4.91	3.67	5.35	8.95	51.41	
23	120.14	66.09	23.76	14.48	8.38	6.61	5.52	5.03	3.54	4.66	13.38	32.79	
24	212.37	61.58	23.27	14.25	8.36	6.71	5.45	4.89	3.35	3.04	5.08	26.39	
25	188.81	54.07	23.27	13.95	8.33	6.73	5.33	4.79	3.39	2.52	2.29	24.91	
26	132.56	46.42	23.15	13.53	8.22	6.68	5.21	4.75	3.18	2.21	5.47	32.08	
27	119.28	45.61	21.93	13.63	8.22	6.60	5.28	4.80	3.01	1.80	7.60	28.65	
28	119.37	44.03	22.27	13.66	8.08	6.74	4.97	4.50	3.00	1.39	3.37	31.62	
29	117.77	41.49	24.91	12.99	8.11	6.61	5.18	4.23	2.83	1.28	2.23	41.04	
30	101.11	40.17	33.52		8.00	6.57		4.31	2.95	1.09	1.72	28.84	
31	105.26	38.79	25.07							0.83	2.24	37.19	
32	134.50											37.73	
													
F.Y.: 2071/72													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	32.77	115.82	45.58	22.81	11.30	11.52	6.89	5.30	4.92	4.16	2.29	3.47	115.824
2	49.23	113.60	43.11	22.67	11.31	8.81	6.78	5.28	4.93	3.99	2.29	16.80	
3	51.64	93.26	46.17	22.38	11.03	8.25	6.72	5.20	4.66	3.90	2.44	5.98	
4	54.59	81.11	68.49	21.96	10.43	8.29	6.65	5.17	4.75	5.94	2.58	31.72	
5	47.65	67.88	48.08	21.27	10.48	8.18	6.57	5.14	4.76	10.31	2.61	20.95	
6	40.84	64.93	44.26	19.83	10.01	8.08	6.43	5.13	4.55	5.32	2.62	15.14	
7	38.47	63.42	42.57	18.74	9.40	8.04	6.29	5.65	4.38	4.33	2.47	25.20	
8	38.17	59.54	41.25	18.15	9.39	7.95	6.26	5.58	4.34	3.93	2.33	15.27	
9	55.83	54.24	42.22	20.21	9.19	7.85	6.58	4.93	4.93	3.45	1.92	12.59	
10	59.83	49.80	39.19	20.77	9.09	7.71	6.37	4.72	5.78	3.42	2.00	11.57	
11	58.01	58.50	36.95	19.38	8.89	7.55	6.34	4.68	4.74	3.53	2.09	9.15	
12	60.36	67.91	34.85	17.57	8.91	7.52	6.14	4.65	4.52	6.45	2.25	13.09	
13	54.81	56.73	35.10	16.80	8.91	7.36	6.04	4.58	5.00	5.32	2.58	24.79	
14	50.86	51.80	33.41	15.89	8.82	7.24	5.87	5.13	12.76	4.98	2.01	24.26	
15	83.68	53.10	31.15	15.34	8.55	7.13	5.76	5.41	5.71	5.43	1.94	14.65	
16	67.51	57.63	29.73	15.68	8.53	6.96	5.65	4.92	5.88	5.60	2.10	14.20	
17	79.85	49.10	28.80	15.53	8.54	6.96	5.61	5.79	5.97	4.79	2.07	18.16	
18	109.56	45.11	27.46	15.41	8.45	8.07	5.50	10.02	5.26	4.78	1.83	14.75	
19	179.24	40.92	26.58	15.14	8.39	14.91	5.47	8.38	5.12	4.70	1.74	13.97	
20	111.31	37.48	25.78	14.29	8.44	11.33	5.96	7.62	4.90	4.20	1.87	13.38	
21	81.87	35.59	26.33	13.47	8.40	8.84	7.06	7.67	5.41	3.63	5.37	15.46	
22	66.70	34.43	24.77	13.32	8.40	8.29	5.99	6.42	5.52	3.20	5.50	15.34	
23	63.63	34.46	23.13	13.31	8.38	7.99	5.69	5.83	4.73	3.00	2.90	31.71	
24	65.58	41.63	22.97	13.14	8.00	8.48	5.63	5.61	4.52	2.91	2.38	24.91	
25	54.32	49.67	22.61	13.16	7.66	8.04	5.64	5.41	4.42	3.00	2.06	21.62	
26	64.00	85.60	21.76	12.95	7.52	7.67	5.65	5.25	4.14	4.51	1.88	20.40	
27	87.42	62.32	21.24	11.73	7.46	7.50	5.47	5.12	3.94	5.17	2.04	19.39	
28	80.67	61.15	39.19	11.68	10.43	7.22	5.43	4.96	3.82	12.02	2.12	16.69	
29	103.07	56.50	35.05	11.55	8.50	7.13	5.33	4.92	3.71	5.23	3.58	17.55	
30	151.47	53.11	26.20	11.51		7.09		4.87	4.69	3.55	3.56	16.93	
31	149.22	56.89	24.38							3.06	4.34	62.62	
32											3.59		
													
F.Y.: 2072/73													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	31.77	92.34	29.95	18.09	9.87	6.51	5.40	4.58	5.43	2.23	2.33	5.62	186.781
2	33.34	65.25	29.03	17.65	9.74	6.55	5.31	4.32	4.32	2.43	1.73	8.79	
3	30.46	63.18	56.32	16.73	9.08	6.59	5.31	4.24	4.01	2.36	1.32	8.41	
4	39.95	98.49	67.45	16.10	8.91	6.44	5.12	4.02	3.89	2.25	1.05	8.68	
5	34.05	136.54	93.06	15.53	8.93	6.54	5.24	3.94	3.85	2.21	1.03	10.89	
6	31.44	108.08	62.67	15.21	8.72	6.34	6.18	3.95	3.76	2.27	1.08	20.74	
7	30.61	84.60	56.21	14.67	8.63	6.37	7.02	3.78	3.64	2.22	2.57	22.54	
8	31.20	74.80	50.67	14.00	8.63	6.14	6.28	3.85	3.38	2.12	16.20	19.23	
9	28.37	81.96	44.18	13.80	8.62	6.06	5.70	4.19	3.14	1.88	3.82	14.42	
10	28.54	87.33	39.51	13.45	8.65	6.41	5.53	3.92	3.34	1.85	2.66	21.23	
11	24.78	70.28	37.17	13.02	8.63	6.31	5.49	3.62	3.38	1.64	2.60	16.30	
12	25.69	77.06	35.01	14.45	8.40	6.11	5.42	3.39	3.37	1.54	1.78	12.22	
13	25.99	66.95	33.50	14.47	8.12	6.07	5.29	3.46	3.27	1.60	3.35	14.17	
14	42.72	62.56	32.02	12.65	7.78	5.95	5.37	3.55	3.06	1.43	2.59	20.52	
15	92.41	56.03	30.33	11.99	7.67	5.95	5.34	3.48	3.30	1.49	5.35	22.44	
16	100.24	49.09	30.03	11.70	7.53	5.83	5.27	4.02	3.03	1.43	22.17	30.17	
17	149.02	41.89	29.17	11.68	7.48	5.70	5.16	4.42	2.98	1.18	5.02	45.96	
18	103.91	40.05	28.07	11.71	7.35	5.65	5.02	4.65	2.96	1.22	7.19	97.83	
19	83.05	38.64	26.65	11.68	7.42	5.65	5.01	4.38	3.02	1.30	6.42	60.17	
20	75.87	37.01	24.71	11.72	7.41	5.75	4.96	4.20	3.00	1.24	5.72	65.60	
21	68.88	38.10	23.45	11.57	7.11	5.61	4.88	4.12	3.33	1.20	5.18	186.78	
22	73.95	34.56	23.23	11.33	7.18	5.61	4.76	3.92	2.91	1.39	10.97	87.72	
23	62.78	33.02	22.60	11.09	7.05	5.46	4.79	3.93	2.85	1.32	8.54	73.50	
24	57.01	31.23	23.66	11.04	6.93	5.39	4.82	4.23	2.90	1.37	6.23	68.35	
25	65.54	32.72	23.70	10.71	6.88	5.30	5.13	3.96	2.97	5.76	6.28	60.51	
26	123.39	32.49	21.28	10.46	6.60	5.36	5.00	3.74	2.88	6.11	7.61	78.08	
27	85.68	51.07	20.87	10.29	6.49	5.37	4.79	3.74	2.82	2.80	4.61	72.83	
28	138.86	35.92	22.67	10.18	6.55	5.40	4.70	3.60	2.73	2.39	6.90	63.84	
29	113.88	33.54	20.21	10.02	6.51	5.41	4.61	3.56	2.67	2.41	5.24	57.56	
30	112.24	31.79	19.08	9.88		5.47		3.44	2.38	11.36	3.95	55.05	
31	110.93	31.30								7.68	4.44	59.58	
32	99.78										8.12		
													
F.Y.: 2073/74													
Date	Shrawan	Bhadra	Ashwin	Kartik	Mangsir	Poush	Magh	Falgun	Chaitra	Baishakh	Jestha 	Ashadh	Max
1	100.97	67.68	62.37	33.52	13.77	7.58	6.11	5.23	5.19	3.40	2.78	14.46	527.971
2	94.50	60.33	63.43	31.94	13.73	7.53	6.15	5.03	5.14	3.27	2.59	8.54	
3	93.67	56.47	57.00	31.42	13.51	7.44	6.07	5.03	4.87	2.95	3.78	6.33	
4	94.00	53.28	57.31	30.89	13.26	7.44	5.89	4.93	4.70	2.77	5.17	6.22	
5	135.25	47.77	83.49	30.05	13.09	7.42	5.76	4.95	4.68	2.75	4.85	8.23	
6	149.09	44.49	80.57	29.46	12.81	7.37	5.53	4.92	4.75	3.05	8.50	8.90	
7	324.26	40.83	72.54	28.51	12.43	7.48	5.41	4.86	4.96	31.87	5.28	6.24	
8	177.15	40.26	69.04	28.05	11.46	7.45	5.40	4.69	4.64	11.70	12.33	6.11	
9	144.03	38.82	64.35	26.72	11.07	7.35	5.47	4.63	4.63	4.02	3.33	11.61	
10	217.64	35.53	66.31	25.79	10.92	7.28	5.37	4.58	4.58	3.73	3.33	15.34	
11	527.97	33.45	59.32	25.58	10.57	7.25	5.21	4.80	4.37	5.84	3.21	12.40	
12	286.86	31.30	59.11	24.73	10.22	7.16	5.22	4.84	4.04	3.39	11.89	14.90	
13	177.10	37.20	57.82	23.69	9.95	7.18	5.05	4.86	4.01	2.95	7.89	34.28	
14	182.11	37.85	48.84	23.08	9.71	7.05	7.76	4.72	4.15	2.71	6.43	27.65	
15	135.50	34.84	47.95	22.53	9.53	6.93	8.15	4.64	4.21	2.54	5.88	16.76	
16	148.32	30.67	47.40	21.48	9.46	6.83	6.40	4.54	4.25	2.62	4.45	75.76	
