# Sg. Kelantan at Jambatan Guillemard
#
#	Ann
1971	870
1972	627
1973	788
1974	576
1975	758
1976	522
1977	446
1978	475
1979	520
1980	411
1981	332
1982	454
1983	496
1984	620
1985	549
1986	458
1987	494
1988	646
1989	397
1990	459
1991	450
1992	466
1993	714
1994	761
1995	464	
1996	541
1997	413
1998	478
1999	620
2000	503
2001	525
2002	319
2003	368
2004	353
2005	328
2006	371
2007	597
2008	599
2009	650
2010	372
